Color,ID,Cost,ConditionID,Condition,Effect-1-ID,Effect1,Effect-2-ID,Effect2,Damage,Health,Class,AllyClassID,AllyClass
red,45,2,5,When you first change a shop card,8,This minion gains stealth until the end of your turn.,999,,2,1,Warrior,3,Mage
red,46,2,6,Whenever you draw a card during your action phase,9,This minion gains vigilance until the end of your opponent's next turn.,999,,2,1,Warrior,1,Rogue
red,47,2,7,Constant,9,This minion has vigilance,999,,2,1,Warrior,3,Mage
red,48,2,2,When you buy your first card this turn,9,This minion gains vigilance until the end of your opponent's next turn.,999,,2,1,Warrior,1,Rogue
red,49,2,5,When you first change a shop card,9,This minion gains vigilance until the end of your opponent's next turn.,999,,2,1,Warrior,3,Mage
red,50,2,6,Whenever you draw a card during your action phase,10,This minion gains lifesteal until the end of your turn.,999,,2,1,Warrior,1,Rogue
red,51,2,7,Constant,10,This minion has lifesteal,999,,2,1,Warrior,3,Mage
red,52,2,2,When you buy your first card this turn,10,This minion gains lifesteal until the end of your turn.,999,,2,1,Warrior,1,Rogue
red,53,2,5,When you first change a shop card,10,This minion gains lifesteal until the end of your turn.,999,,2,1,Warrior,3,Mage
red,54,2,6,Whenever you draw a card during your action phase,11,Untap target allied minion.,999,,2,1,Warrior,1,Rogue
red,55,2,2,When you buy your first card this turn,11,Untap target allied minion.,999,,2,1,Warrior,3,Mage
red,56,2,5,When you first change a shop card,11,Untap target allied minion.,999,,2,1,Warrior,1,Rogue
red,57,3,6,Whenever you draw a card during your action phase,7,This minion gains poison touch until the end of your turn.,19,2 Exp,2,1,Warrior,3,Mage
red,58,3,2,When you first change a shop card,8,This minion gains stealth until the end of your turn.,19,2 Exp,2,1,Warrior,1,Rogue
red,59,3,5,When you buy your first card this turn,9,This minion gains vigilance until the end of your opponent's next turn.,19,2 Exp,2,1,Warrior,3,Mage
red,60,3,6,Whenever you draw a card during your action phase,10,This minion gains lifesteal until the end of your turn.,19,2 Exp,2,1,Warrior,1,Rogue
red,61,3,3,Whenever you defeat an enemy minion,11,Untap target allied minion.,19,2 Exp,2,1,Warrior,3,Mage
red,62,3,5,When you first change a shop card,7,This minion gains poison touch until the end of your turn.,18,2 Gold,2,1,Warrior,1,Rogue
red,63,3,6,Whenever you draw a card during your action phase,8,This minion gains stealth until the end of your turn.,18,2 Gold,2,1,Warrior,3,Mage
red,64,3,2,When you buy your first card this turn,9,This minion gains vigilance until the end of your opponent's next turn.,18,2 Gold,2,1,Warrior,1,Rogue
red,65,3,5,When you first change a shop card,10,This minion gains lifesteal until the end of your turn.,18,2 Gold,2,1,Warrior,3,Mage
red,66,3,3,Whenever you defeat an enemy minion,11,Untap target allied minion.,18,2 Gold,2,1,Warrior,1,Rogue
green,67,2,6,Whenever you draw a card during your action phase,12,Target enemy minion loses its effect(s) until the end of your opponent's next turn.,999,,1,2,Rogue,3,Mage
green,68,2,3,Whenever you defeat an enemy minion,12,Target enemy minion loses its effect(s) until the end of your opponent's next turn.,999,,2,2,Rogue,2,Warrior
green,69,2,5,When you first change a shop card,12,Target enemy minion loses its effect(s) until the end of your opponent's next turn.,999,,1,2,Rogue,3,Mage
green,70,3,4,Tap this minion during your action phase to activate its effect,12,Target enemy minion loses its effect(s) until the end of your opponent's next turn.,999,,1,2,Rogue,2,Warrior
green,71,2,2,When you buy your first card this turn,12,Target enemy minion loses its effect(s) until the end of your opponent's next turn.,999,,1,2,Rogue,3,Mage
green,72,3,6,Whenever you draw a card during your action phase,13,Inflict 1 damage to target minion,999,,1,2,Rogue,2,Warrior
green,73,3,2,When you buy your first card this turn,13,Inflict 1 damage to target minion,999,,1,2,Rogue,3,Mage
green,74,3,5,When you first change a shop card,13,Inflict 1 damage to target minion,999,,1,2,Rogue,2,Warrior
green,75,3,3,Whenever you defeat an enemy minion,13,Inflict 1 damage to target minion,999,,2,2,Rogue,3,Mage
green,76,3,1,If the enemy hero lost health this turn,13,Inflict 1 damage to target minion,999,,2,2,Rogue,2,Warrior
green,77,3,5,When you first change a shop card,14,Target allied minion's damage increases by 1 until the end of your turn,999,,1,2,Rogue,3,Mage
green,78,3,6,Whenever you draw a card during your action phase,14,Target allied minion's damage increases by 1 until the end of your turn,999,,1,2,Rogue,2,Warrior
green,79,2,2,When you buy your first card this turn,14,Target allied minion's damage increases by 1 until the end of your turn,999,,1,2,Rogue,3,Mage
green,80,3,3,Whenever you defeat an enemy minion,14,Target allied minion's damage increases by 1 until the end of your turn,999,,2,2,Rogue,2,Warrior
green,81,3,4,Tap this minion during your action phase to activate its effect,14,Target allied minion's damage increases by 1 until the end of your turn,999,,1,2,Rogue,3,Mage
green,82,3,1,If the enemy hero lost health this turn,15,Your opponent discards a card at the start of their next turn.,999,,2,2,Rogue,2,Warrior
green,83,3,6,Whenever you draw a card during your action phase,15,Your opponent discards a card at the start of their next turn.,999,,1,2,Rogue,3,Mage
green,84,3,3,Whenever you defeat an enemy minion,15,Your opponent discards a card at the start of their next turn.,999,,2,2,Rogue,2,Warrior
green,85,2,1,If the enemy hero lost health this turn,16,Draw a card then discard a card,999,,2,2,Rogue,3,Mage
green,86,2,2,When you buy your first card this turn,16,Draw a card then discard a card,999,,1,2,Rogue,2,Warrior
green,87,2,3,Whenever you defeat an enemy minion,16,Draw a card then discard a card,999,,2,2,Rogue,3,Mage
green,88,3,4,Tap this minion during your action phase to activate its effect,16,Draw a card then discard a card,999,,1,2,Rogue,2,Warrior
green,89,2,5,When you first change a shop card,16,Draw a card then discard a card,999,,1,2,Rogue,3,Mage
green,90,2,1,If the enemy hero lost health this turn,17,Select 1 card from your hand or discard pile. Remove that card from the game.,999,,2,2,Rogue,2,Warrior
green,91,2,6,Whenever you draw a card during your action phase,17,Select 1 card from your hand or discard pile. Remove that card from the game.,999,,2,2,Rogue,3,Mage
green,92,2,3,Whenever you defeat an enemy minion,17,Select 1 card from your hand or discard pile. Remove that card from the game.,999,,2,2,Rogue,2,Warrior
green,93,2,4,Tap this minion during your action phase to activate its effect,17,Select 1 card from your hand or discard pile. Remove that card from the game.,999,,1,2,Rogue,3,Mage
green,94,2,5,When you first change a shop card,17,Select 1 card from your hand or discard pile. Remove that card from the game.,999,,1,2,Rogue,2,Warrior
green,95,4,6,Whenever you draw a card during your action phase,13,Inflict 1 damage to target minion,19,2 Exp,1,2,Rogue,3,Mage
green,96,3,2,When you buy your first card this turn,14,Target allied minion's damage increases by 1 until the end of your turn,19,2 Exp,1,2,Rogue,2,Warrior
green,97,4,3,Whenever you defeat an enemy minion,15,Your opponent discards a card at the start of their next turn.,19,2 Exp,2,2,Rogue,3,Mage
green,98,4,4,Tap this minion during your action phase to activate its effect,16,Draw a card then discard a card,19,2 Exp,1,2,Rogue,2,Warrior
green,99,3,5,When you first change a shop card,17,Select 1 card from your hand or discard pile. Remove that card from the game.,19,2 Exp,1,2,Rogue,3,Mage
green,100,4,5,When you first change a shop card,13,Inflict 1 damage to target minion,18,2 Gold,1,2,Rogue,2,Warrior
green,101,4,4,Tap this minion during your action phase to activate its effect,14,Target allied minion's damage increases by 1 until the end of your turn,18,2 Gold,1,2,Rogue,3,Mage
green,102,4,1,If the enemy hero lost health this turn,15,Your opponent discards a card at the start of their next turn.,18,2 Gold,2,2,Rogue,2,Warrior
green,103,3,3,Whenever you defeat an enemy minion,16,Draw a card then discard a card,18,2 Gold,2,2,Rogue,3,Mage
green,104,3,6,Whenever you draw a card during your action phase,17,Select 1 card from your hand or discard pile. Remove that card from the game.,18,2 Gold,2,2,Rogue,2,Warrior
